"id","type","result","n","rng"
"jgg.txt","Fabricated",3.27958584506217e-06,25,0
"3pl.txt","Fabricated",2.31423548073033e-07,25,0
"19e.txt","Fabricated",3.9885714039745e-08,25,1
"1zm.txt","Fabricated",1.634301427469e-08,25,0
"8nb.txt","Fabricated",9.00946741539805e-09,25,0
"ulr.txt","Fabricated",6.9695418300653e-09,25,1
"nbu.txt","Fabricated",1.12389753256723e-09,25,0
"z26.txt","Fabricated",1.12389753256723e-09,25,0
"o2f.txt","Fabricated",3.7982176063894e-10,25,1
"tyo.txt","Fabricated",1.04990897375316e-11,25,1
"1se.txt","Fabricated",2.59556626772991e-12,25,1
"t5g.txt","Fabricated",9.79759592174331e-13,25,0
"g2f.txt","Fabricated",5.12392490036957e-13,25,1
"hsu.txt","Fabricated",3.06262323950706e-14,25,1
"2a9.txt","Fabricated",1.90912355043825e-15,25,1
"sel.txt","Fabricated",2.76469128113581e-16,25,1
"82z.txt","Fabricated",1.24804024336756e-16,25,1
"h65.txt","Fabricated",9.29032342726524e-17,25,1
"3wn.txt","Fabricated",3.53968617259006e-20,25,0
"h5w.txt","Fabricated",1.17371228906788e-20,25,1
"cebersole.carleton","Genuine",1.03963929261234e-20,51,NA
"0jg.txt","Fabricated",1.3624208688137e-21,25,1
"ez8.txt","Fabricated",2.00313999875489e-23,25,1
"pkl.txt","Fabricated",8.05285959555624e-25,25,1
"jmq.txt","Fabricated",8.81221054386685e-26,25,1
"yty.txt","Fabricated",8.43606052550186e-26,25,1
"tjv.txt","Fabricated",1.18772543435003e-28,25,1
"cebersole.mississippi","Genuine",2.03639092355013e-36,93,NA
"cebersole.toronto","Genuine",4.70308201471602e-48,82,NA
"cebersole.psuabington","Genuine",5.83175298114542e-49,117,NA
"cebersole.ashland","Genuine",7.30996707505193e-55,84,NA
"cebersole.vcu","Genuine",4.05395389413361e-55,97,NA
"cebersole.miami","Genuine",6.28851537455269e-58,101,NA
"cebersole.plu","Genuine",1.68205258080374e-58,101,NA
"ojh.txt","Fabricated",2.44666090721901e-64,25,1
"cebersole.davis","Genuine",1.10658461558968e-65,120,NA
"2f5.txt","Fabricated",1.95794117206708e-70,25,0
"cebersole.bradley","Genuine",2.20834908683544e-72,119,NA
"cebersole.nova","Genuine",7.90826907316136e-73,132,NA
"cebersole.montana","Genuine",1.72343191028977e-92,129,NA
"cebersole.sdsu","Genuine",9.42114977670959e-98,145,NA
"cebersole.michst","Genuine",3.2206028307029e-102,127,NA
"cebersole.osu","Genuine",6.08423402447954e-104,163,NA
"cebersole.florida","Genuine",3.34170223181031e-104,138,NA
"cebersole.texasam","Genuine",6.00323163655941e-137,181,NA
"cebersole.riverside","Genuine",1.82385518339866e-151,252,NA
"cebersole.virginia","Genuine",5.79891324653934e-169,196,NA
"cebersole.ithaca","Genuine",9.37983639850648e-222,288,NA
"cebersole.mturk","Genuine",1.4213456032351e-282,621,NA
